Категория;Анекдот
Власть и политика;Почему-то жители стран, президенты которых во всём виноваты, живут гораздо лучше, чем в той, где он вечно прав.
Парни и девушки      / Авто и ГИБДД;Едет Мужик на машине, подвозит даму. Дама: — Только у меня денег нет... Машина съезжает на лесную дорогу, едут через лес, выезжают на поляну. Мужик выходит, расстилает большую простынь. — Как вы можете? Я порядочная женщина, у меня муж и двое детей... — Я тоже порядочный и у меня сорок кроликов. Рви траву и кидай на простыню.
Власть и политика;"Читаю новости: ""Конгресс США ужесточил санкции против России. "" Видимо удивляются, что предыдущие санкции не работают. Ради Бога, кто-нибудь, пусть объяснит Западу, что у нас, в России, без откатов ничего НЕ РАБОТАЕТ!"
Злободневно;— Зачем ты ежемесячно тратишь так много денег на лотерею? Ведь шанс выиграть очень ничтожный? — Я на свою будущую пенсию с зарплаты тоже ежемесячно отчисляю большие деньги, но в лотерею выиграть хоть шанс какой-то есть!
Разные;Театр. Зрители занимают свои места. В партере сидит, раскинувшись, мужик: ноги на передних сиденьях, руки на соседних, голова закинута, язык наружу. K нему подходят люди и говорят: — Извините, у нас места немного дальше. Hе позволите ли вы нам пройти? Человек — ноль внимания. Они опять: — Молодой человек, вы нам мешаете пройти, если вы не уберете ноги — мы будем вынуждены позвать администратора. Hоль эмоций. Пришел администратор. — Товарищ, уберите ноги, вы мешаете людям проходить на свои места! Hикакого ответа. — Молодой человек! Вы нарушаете правила поведения в общественном месте! Если вы не уберете ноги, я позову милиционера! Приходит милиционер. — Значит так, ноги убери! Человек молчит. — Ты что, совсем офигел, я сказал, ноги убери! Молчание. — Ты что, меня не слышишь? Откуда ты такой взялся? Тут человек, еле шевеля губами, говорит: — С балкона...
Студенты;Сессия. Из аудитории выбегает радостная студентка. Толпа: aнекдoтов.nеt — Сдала? — Сдала! Следом выглядывает усталый преподаватель и бурчит себе под нос: — Ну, положим, не она сдала, а я сдался. . .
Авто и ГИБДД / Геи;Не сердись, если тебя подрезала какая то крутая тачка, с крайнего правого ряда прямо перед твом капотом повернув налево, через двойную сплошную... Просто уважаемый человек опаздывает на свидание... в гейклуб.
О жизни;Американец приходит к адвокату и просит совета. — Мой сосед должен мне пятьсот долларов, и не отдает. Могу я как-нибудь отсудить эти деньги у него? — Можете, но для этого нужно письменное доказательство, что он вам должен. У вас есть такое доказательство? — Боюсь, что нет. Он у меня просто так взял. — Тогда напишите ему письмо, и потребуйте в этом письме, чтобы он немедленно вернул вам тысячу долларов. — Но он мне должен только пятьсот долларов! — Именно так он и ответит. И это будет письменное доказательство.
Анекдоты про гинеколога;"Мой дядя, сколько я себя помню, работает сапожником. И сколько я себя помню постоянно его подкалывал на тему ""Сапожник без сапог"". Я вырос и стал гинекологом. Теперь подкалывает дядя..."
Анекдоты про священника;"Мужик приходит к своему другу и говорит: так, мол, и так, я тут сплю с женой священника. Не мог бы его друг немного задержать святого отца после службы, буквально на час? Другу это все, конечно, не нравится, но дружба есть дружба, и он соглашается. После службы друг подходит к священнику и начинает доставать его, спрашивая всякую чушь. В конце концов священнику все это надоедает и он спрашивает напрямую: зачем мужик к нему привязался? Ну, мужику становится стыдно, и он признается, что его друг попросил задержать святого отца, чтобы развлечься с его женой. На что священник улыбается и говорит: ""Поспеши-ка ты домой, сын мой. Нет у меня никакой жены... """
Знаменитости;На шестом месяце одиночного кругосветного плавания Федор Конюхов обиделся на весло и неделю с ним не разговаривал.
Студенты;"Молодой парень в кафе пьет кофе и смотрит на красивую девушку за соседним столиком. Наконец решает подойти: — Девушка, а можно к вам присесть? Девушка на все кафе: — ДА НЕ БУДУ Я С ТОБОЙ СПАТЬ!!! Люди оборачивались заулыбались. Парень покраснев возвращается к своему столику. Тут к нему подсаживается эта же девушка — Вы, конечно, извините, но дело в том что я психолог и пишу диссертацию на тему ""Поведение разных типов людей в неадекватных ситуациях"". Парень, внезапно, на все кафе: — ЧТО?! ДВЕСТИ БАКСОВ?!"
Злободневно;Идут две женщины-иеговистки по парку со своими брошюрками. Подходят к компании байкеров-металлистов и говорят: — Верите ли вы, что наша планета скоро погибнет? — А вы с какой планеты?
Анекдоты про секс;Идет cекcологический опрос американских спортсменов. Журналистка берет интервью у члена WNBа – женщины-баскетболистки, ростом под два метра. — Вы cекcом занимаетесь? — Да. — С кем? — С мужчинами. — Хорошо, а какая Ваша любимая поза? — Стоя. — И где вы находите таких высоких партнеров? — Ни где — я им табурет под ноги подставляю. — А Вы предохраняетесь? — Да. — А каким образом? — Смотрю мужику в глаза, когда закатываются – выбиваю табурет из-под ног.
Геи;"Настоящая женщина должна выглядеть так, чтобы даже геи, глядя на нее думали: ""А может зря я?!"""
Эротические анекдоты;ОНА: Может, купим мне вибратор? . . ОН: Зачем? ОНА: Просто так попробовать, а то дожила почти до седых волос, а не пользовалась ОН: Давай ОНА: А тебе искусственную как ее там... вагину! ОН: На фига она мне?! ОНА: Ну, чтобы была, я к примеру устала... а у тебя есть замена! ОН: Ага, а если оба устали то нажали на кнопочки они там себе е@утся втихаря, а мы спи-иим себе...
Власть и политика;Я не знаю, что за фильм там снял Навальный, но рекламирует его сам Путин.
Сказочные;Чем старше я становлюсь, тем лучше понимаю ведьм из сказок, которые селились в глухом лесу и убивали всех, кто их побеспокоит.
Работа;— Совсем задолбал меня директор, три года без отпуска, да еще и в выходные дергает! — жалуется один бухгалтер другому. — У меня идея! — говорит другой бухгалтер. Он цепляется ногами за трубу у потолка и висит вниз головой. Входит директор: — Что вы себе позволяете, что здесь происходит? — Я лампочка, я электрическая лампочка! — Вижу, вы переутомились, идите домой Семен Михайлович, даю вам недельный отпуск! Семен Михайлович уходит. Директор: — А вы, куда собираетесь Виктор Иванович? — Не могу же я в такой темноте без света работать!
Злободневно;В чем наша разница: вместо того, чтобы крикнуть: Что же вы, суки, делаете?! Мы молча думаем: « Что же они, суки, делают». Жванецкий
Медицина и здоровье;Встретились два психиатра, не виделись с универа. Первый: — А какой у тебя был самый странный пациент? — У меня был больной, который жил в придуманном мире. Он считал, что у него есть дядя в Америке, который собирается оставить ему огромное наследство, и поэтому пациент постоянно ждал письма оттуда. Он никуда не ходил, сидел дома и ждал письма. Я его 7 лет лечил! И когда уже почти вылечил, пришло это долбанное письмо!
Анекдоты про алкашей;Из рапорта: « После обыска у самогонщицы Сидоровой я и сержант Карасюк никак не могли найти входную дверь. Когда Карасюк устал и уснул в туалете, дверь я все-таки нашел, но зачем я принес ее в наше отделение, не помню».
О жизни;— Как вам удалось дожить до 100 лет? — Раз в год я устраиваю своему организму алкогольную шоковую терапию. — И сколько вы тогда выпиваете? — В этот день я не пью.
Анекдоты про коронавирус        / Анекдоты про измену;"Из показаний в полиции: ""Когда я вошла в спальню, мой муж лежал голый на моей голой же куме. Они оба посмотрели на меня и умерли от коронавируса""."
Города;В Москве уже сутки идет сильная метель. На призыв властей не выходить из дома, откликнулись только коммунальные службы.
Работа;Придешь к столяру — кругом опилки валяются, к парикмахеру — волосы... А придешь в банк — денег не видно. Еще и ручка привязана!
Анекдоты про алкашей;— Что вы посоветуете к этому вину? — К этому вину идеально подойдет жареный беляш с автовокзала.
Сказочные;— Если воткнуть в сердце вампира осиновый кол, то он умрет! — Ты хочешь сказать, что если нормальному человеку вбить кол в сердце так он и не заметит?
Анекдоты про измену;Однажды боярин с боярыней плыли в челне по Оке. И тут она увидела крестьянина, смотрящего на нее с помыслом и вожделением. — Здравствуй, добрый молодец! — поприветствовала она крестьянина. Тот поклонился в ответ, продолжая смотреть на нее похотливо. — Женат ли ты, добрый человек? — спросила боярыня. — Женат, боярыня. Но уж больно ты хороша собой, бровью черна, станом тонка. Тогда она зачерпнула ковш воды с правого борта челна и дала ее испить крестьянину. Тот повиновался. Тогда боярыня зачерпнула ковш с левого борта челна и вновь дала испить крестьянину. Тот опять выпил. — Вот, попробовал ты водицы с обеих сторон челна. Различен ли вкус ее, добрый человек? — Вкус один и тот же, — непонимающе пожал плечами тот. — Так и женское естество, всегда одинаково, зачем же ты смотришь на меня, когда свою жену имеешь? — Тяжело тебе небось с такой бабой? — спросил крестьянин боярина. — Да [капец], — кивнул тот...
Мужчины и женщины;"ФАМИЛИЯ ЖЕНЫ... У нас в бригаде работает парень. Недавно он женился и взял фамилию жены. Был Козловский, стал Князев. Сразу же получил кликуху ""Князь Козловский""."
Спорт     / Анекдоты про тренера;Чемпионат мира по водному полу. Уже почти подходит к концу матч, сборная Грузии проигрывает 1 очко, тренер рвет на себе волосы и бежит вдоль края бассейна и орет на своего ученика:- ЭЙ! ПЕТО! ТЕПО! СРОЧНО ОТДАЙ МЯЧ ГИВИ!!!Пето не обращает на него внимания, при этом он подплывает к воротам противника.Тренер уже рвет на себе волосы, снова орет:- ПЕТО! ПЕТО! НЕМЕДЛЕННО ОТДАЙ МЯЧ ГИВИ!Пето не понимает зачем это делать, ведь ему совсем немного осталось до гола, тем более он выровнялся с вратарем противника. Тренер уже весь красный, орет на последних связках:- ПЕТО! ЖИВО ОТДАЛ МЯЧ ГИВИ!Пето забивает гол, публика ликует! Матч заканчивается победой Грузии! После чего Пето подплывает к тренеру и спрашивает:- Тренер, ты зачем мне кричал? Зачем мне отдавать Гиви мяч, я же сам гол забил!- Да забить-то ты забил, а Гиви…утонул!
Власть и политика;А ведь могли бы просто внести поправку, что президент, достигший пенсионного возраста, остается править пожизненно. Ну, чтобы потом снова не собираться и не обнулять. Недоработка, однако…
Работа;В отделении Почты России:— Девушка, примите посылку!— Подождите, у меня не семь рук! Не видите — я продукты на витрине раскладываю!
Злободневно;"""Чиновники — это трутни, пишущие законы, по которым человеку не прожить. Почему у министров жалованье постоянно и независимо от того, хорошо или дурно живется населению Пруссии? Вот если бы квота жалованья бюрократов колебалась вверх-вниз в зависимости от уровня жизни народа, тогда бы эти дураки меньше писали законов, а больше бы думали... "" Бисмарк."
Национальности;"Три американца после гулянки очнулись в тюрьме. Никто из них не помнил, за что они там оказались, но им известно было лишь одно — их вот-вот должны были казнить. На электрический стул посадили первого из них. Он говорит: ""Я священник, и если стул не сработает — значит, это Божье провидение и я невиновен. "" Стул не сработал, и его отпустили. Сажают второго. Он говорит: ""Я адвокат, и если стул не сработает — правосудие на моей стороне. "" Стул снова не сработал, и его отпустили. Наконец, сажают третьего, и он говорит: ""Я электрик, и я вас уверяю, если вы не соедините вон те два провода, то вы так никогда никого не казните. "" Боже, храни его душу."
Дети;"Мужик дочку из детсада вечером забирает, а воспитательница ему жалуется:— Ваша Леночка меня сегодня три раза нах*й послала!— Да быть такого не может, она очень воспитанная девочка!— Сегодня на завтрак были яблоки, все дети съели, а Леночка не стала. Я ей говорю: ""Леночка, съешь яблочко"", а она мне: ""Идите нах*й, Светлана Петровна!"" Я ее, естественно, в угол поставила. К обеду выпустила и говорю: ""Леночка, ну доешь свое яблочко"", а она опять: ""Идите нах*й, Светлана Петровна!"" Ну, я ее снова в угол. Выпустила к полднику, еще раз предложила яблочко, а она снова меня послала! С девочкой надо что-то делать!Мужик, пристально глядя на воспитательницу:— Светлана Петровна, а вам с первого раза непонятно было, что Леночка не любит яблоки?"
Животные и насекомые;— И вот, наконец, всеми правдами и неправдами ты добиваешься того, что перед тобой распахивается дверь, открывающая тебе путь к новым горизонтам. Что ждет тебя впереди? А если все зря? Вдруг то, что будет в новом мире, в разы хуже остающегося позади? Сможешь ли ты вернуться, или же деяние сие необратимо? И что застанешь ты, если все-таки сможешь возвратиться? Может, лучше отступить, или хотя бы взять перерыв перед принятием решения?— Твою мать, Барсик! Я тебе дверь зачем открывал?
Евреи;— Вы знаете, Мойша, по новым правилам мы не можем поселить вас с девушкой в один номер в нашей гостинице! Берите еще один номер.— Таки почему?— Вы не расписаны!— Это что, борьба за нравственность?— Нет, это борьба за прибыль!
Анекдоты про таксистов;"Подруга остановила такси. Доехали до места, а кошелька нет, платить нечем. Таксист предлагает: — Давай натурой. Только чтобы менты не прикопались-под машиной. Если подойдут, скажу,что сцепление чиню. Подруге делать нечего, согласилась.Дело пошло, даже в ритм вошли.... И в самый ответственный момент сверху нависает мент: — Чем вы занимаетесь в общественном месте?! — Че не видно? Сцепление чиню! — Ты бы лучше тормоза починил. ""Волга"" твоя-то вон уже где, у набережной."
О жизни;Очень сложно смотреть американские сериалы про бедных людей, потому что постоянно прикидываешь, сколько тебе надо работать, чтобы стать бедным как они.
Мужчины и женщины     / Анекдоты про сына и отца;Отгремела свадьба. Жених ждет невесту, а она заперлась в кухне со свекровью и разговаривает, разговаривает... Жених просит отца поторопить их. Отец прикладывает ухо к двери и слышит: — Мама, что мне делать? Ведь я не девушка... — Ну и что, глупышка, думаешь, что я своему козлу девушкой досталась? Что-нибудь придумаем... А сын как раз спрашивает: — Папа, ну о чем они так долго говорят??? Отец (выпрямляясь): — Ну о чем могут говорить две б%%%и, сынок...
О жизни      / Анекдоты про конец света;Индейцы племени майя ошиблись в предсказания будущего конца света всего на восемь лет…
Прикольные истории;"Преамбула: работал в милиции, вечером еду с дежурства, время 23-30, весь устал, на улице зима, я ессно в форме. Трамвай последний. Ехал через пол-города, от работы до дома. До дома осталась одна остановка. В трамвае человек 10, все культурные, пьяных нет. Амбула: На остановке двери открываются, входит парень лет 18 с пивом, два друга его провожают. Парень становится на нижнюю ступеньку, демонстративно, закуривает, и вытягивает слегка вперед ногу, чтоб водитель не могла (боялась задеть его) закрыть дверь. Водитель трамвая надрывается через громкую связь, чтоб парень прекратил безобразие, парень пьет пиво, курит, не реагирует. А мне до дома — следующая остановка выходить. Встаю, подхожу включаю ""волшебный пендель"" под 5-ю точку. Парень выпадывает из трамвая, его друзья меня видят, молчат смущенно, еще в полете парень начинает диалог словами ""Это, нах..."". Выпав из трамвая, разворачивается с понятными целыми наказать обидчика. Видя меня в форме сотрудника милиции произносит ""Опа, нах...."". Далее, ""двери закрываются""!!! Люди в трамвае довольны, они видели как работает милиция, на лицах улыбки. Я дома!!!"
Анекдоты про коронавирус;Когда ВОЗ порекомендовала чихать в локоть, коронавирус напрягся: а как же ему передаваться от одного человека к другому? Но потом люди начали локтями здороваться — и решение было найдено.
Охота и рыбалка         / Анекдоты про рыбу         / Анекдоты про три желания;Рыбачили два мужика на лодке. Вдруг поднялся ураган и лодку унесло в открытое море. На седьмые сутки, умирая от голода и жажды, они выловили бутылку. Из которой вылез джинн: — Ну, загадывайте желание — Хочу, чтобы было море пива — говорит один мужик. — Будет исполнено, — ответил джинн и исчез. Раз — море все из пива стало. Второй мужик берет первого за грудки: — Это ты хорошо придумал, а ссать теперь в лодку да?
Медицина и здоровье;Врач возмущенно говорит пациенту:— Вы выглядите довольно скверно! Я же вам совершенно ясно сказал только 10 сигарет в день!— Я хорошо помню, доктор, но согласитесь, для человека, который никогда в жизни не курил, это все-таки не так уж и мало!
Пошлые анекдоты;"Звонок в ""особую"" контору: — Доброй ночи, скажите, девочек можно заказать? — Да, конечно, столько-то в час. — В баню подвезете? — Да, конечно, через полчасика будут. — Скажите, а мальчики есть? — Да, вас активные или пассивные интересуют? — Да в общем-то все равно, вот мы в бане попаримся, пивка попьем, потр@хаемся, надо бы для логического завершения каким-нибудь пид@расам морду набить..."
Злободневно;"Рабства давно нет, какого ж х*я негры продолжают жить с белыми ""угнетателями""?"
Власть и политика;Заседание ООН. Очередное обсуждение палестинской проблемы. Все что-то говорят, дескать, арабы там уже 1000 лет живут, имеют право на автономию... Выходит на трибуну израильский представитель. — Я не буду говорить то, что уже здесь говорилось много раз, а расскажу вам одну притчу. 3000 лет назад Моисей водил народ Израилев по пустыне, водил его 40 лет и, наконец, вывел его на берега реки Иордан. И решил совершить омовение. Так вот пока он был в реке, кто-то украл всю его одежду! Голос кого-то из арабских представителей: — Попрошу отметить, что арабы тут ни при чем! Нас там тогда еще не было! Израильский представитель, поднимая кверху указующий перст: — О!
Мужчины и женщины    / Анекдоты на день рождения;"Если ты с утра, пока жена еще спит, побежал покупать ей цветы, чтобы поздравить с Днем рождения, споткнулся, упал, сломал руку в трех местах, но все равно, несмотря на боль, выполнил свою миссию до конца, ты думаешь, она скажет: ""Дорогой, это так трогательно. Неужели ты так меня любишь?! Ты мой герой!"". Нет, она скажет: ""Ты, сука, испортил, мой праздник!"""
Работа;"Году в 2006-м я работал дизайнером в одной некрупной рекламной конторке. И однажды у нас уволилась уборщица. Со словами ""сами работайте за такие копейки"", хотя зарплата у нее для того времени была вполне неплохой. А в рекламке без уборщицы никак. Технические помещения, если не убирать, покроются рекламными отходами до потолка за несколько дней. Естественно, в панике даем объявление. Начинаем смотреть кандидатов. И вот смущало то, что приходили в основном женщины с явными признаками алкоголизма. Пока однажды не пришла Тетя Нина... Это было очень захватывающее зрелище. Заходит женщина. Опрятно одета, четкая, поставленная речь. Подбородок гордо ввысь. И с порога так: — Вам техничка требуется? — Да. — Я буду у вас работать! Платить мне будете 20 тыс (тенге) в месяц на руки. Убираться буду три раза в неделю, и каждая пятая уборка — генеральная. Оформляемся только официально. Подача информации была шикарна. Это не мы ищем техничку, а она себе выбирает место. Вот этот настрой, он был настолько шикарен, что мы решили взять ее с проверочным сроком в 2 недели (оплачиваемо)... А вот дальше я поразился еще больше. Тетя Нина была просто богом уборки. Она приходила на работу ровно на 2 часа в день 3 раза в неделю. И, как электровеник, наводила кристальную чистоту. Приходила исключительно со своими химпрепаратами, за которые никогда не брала денег, и я таких даже не видел в продаже. Качество ее уборки круче, чем когда я оттираю любимую кружку от чайного налета. Мусор не задерживался даже в технических помещениях. Ни пылинки, ни развода. На каждую пятую уборку она приходила с внучкой (или дочкой, но очень молодой)... и они оставались еще на час и вдвоем генералили. Вымывали окна. Даже вазы из-под цветов. Однажды оттерли краску с печатного станка, которую даже родной растворитель не брал. За такую работу не грех было платить такие деньги (к слову, я как дизайнер получал 25 000. Она всего на пятерку меньше). Потом мы узнали про Тетю Нину еще больше... Помимо нашей фирмы, она работала еще в шести местах. На тех же самых условиях. Она шла от офиса к офису каждое утро. Пять дней в неделю. К пяти вечера она освобождалась и чувством выполненного долга, эта прекрасная женщина спокойно шла домой. Семь официальных рабочих мест. В каждом из которых ей всегда все рады. Когда мы примерно прикинули калькуляцию ее доходов, мы поняли, что женщина — гений. Она просто сама создала свой бизнес, который приносит ей бешеные деньги. 140 000 тенге, в 2006 году, не у каждого руководителя, упахивающегося с утра до ночи и без выходных, была такая зарплата. И везде официально. Даже не представляю, какую она себе пенсию наработала за это время! А с учетом того, как она работала, частенько на нее сыпались премии. Изредка сейчас вижу ее, идущую по улице с неизменным ведерком, из которого торчит маленькая складная шваброчка. Всегда здоровается."
Злободневно;Во мне постоянно борются добро и зло, а побеждает обычно дурь.
Злободневно       / Кино и ТВ;"""И — ирония"" Придумал сценарий для фильма, который (в свете последних событий) никогда не снимут. В завязке фильма черный активист BLM в микрофон многотысячной толпе рассказывает про белых-эксплуататоров и их ""белые привелегии"", из-за которых черные не могут хорошо устроиться в жизни. А на утро просыпается в теле белого американца средних лет, работающего в обычном офисе, и находящегося на грани увольнения. Ждет, когда к нему подъедут его ""белые привелегии"", но их все нет. Постепенно проходит все стадии от отрицания и до принятия. И начинает вкалывать, как черт, осознавая реальное положение вещей. В финале его увольняют по надуманной причине, а на его место для расового разнообразия берут черного. Все. И название фильма крупным планом."
Власть и политика;Кто читал поправки к конституции?! Там есть что-нибудь мелким шрифтом?!
Анекдоты про бармена         / Анекдоты про алкашей;"Новый парень в городе заходит в бар и замечает очень большой кувшин за стойкой, заполненный до краев десятидолларовыми банкнотами. Человек, предпологая, что там должны быть тысячи долларов, приближается к бармену и спрашивает: "" Почему в кувшине столько денег? "" Бармен отвечает: ""Вы оплачиваете десять долларов и если преодолеете три испытания, тогда все деньги Ваши. "" — Какие испытания? — Плата вперед. Такие правила. Парень дает ему десять долларов и бармен добавляет их в кувшин. — Вот, что ты должен сделать. Сначала выпей целый галлон текилы с перцем, и при этом лицо не должно искривиться. Во-вторых, во дворе есть питбуль, прикованный к столбу. У него воспаленный зуб. Ты должен удалить зуб голыми руками. Третье, 90-летняя старушка живет в комнате наверху, которая никогда не имела орг@зма. Ты должен ей в этом помочь. Парень покрутил пальцем у виска и сел за стойку бара. Бармен: "" Твой выбор, но деньги остаются в банке"" После нескольких рюмок, парень вскакивает, говорит ""Сколько той жизни!!! ! "", захватывает галлон с текилой и опрокидывает себе в рот. Слезы струятся по щекам, но лицо не меняется. Затем он колеблясь выходит на задний двор и скоро все люди внутри слышат лай, крики, визги и рычание, и в конечном счете тишина. Только, когда они подумали, что человек должен, конечно, быть мертв, он вваливается назад в бар, его рубашка разорвана, большие царапины на всем протяжении тела. — А теперь, где эта женщина с воспаленным зубом?"
